Counter,Date/time,Latitude (deg),Longitude (deg),Altitude (km),B_x,B_y,B_z
50,2022-04-30 16:07:56.259599,44.584948425868376,162.2000275354982,417.2282050668126,42.955989837646484,8.102604866027832,22.076385498046875
51,2022-04-30 16:08:08.944599,44.987290699778725,163.15305437767637,417.3318038902657,42.67550277709961,8.187712669372559,22.278533935546875
52,2022-04-30 16:08:21.627350,45.380562121063925,164.11989420344304,417.43451642262005,42.47970962524414,8.372748374938965,22.561748504638672
53,2022-04-30 16:08:34.308748,45.76454727321996,165.10067060967268,417.5362530029975,42.453514099121094,8.440495491027832,22.79998016357422
54,2022-04-30 16:08:46.986259,46.13892533808585,166.09521592104105,417.63689859640317,42.207603454589844,8.521124839782715,22.896697998046875
55,2022-04-30 16:08:59.675850,46.5039060336507,167.10480764321755,417.7364855177269,42.09400177001953,8.476088523864746,23.08249282836914
56,2022-04-30 16:09:12.360997,46.85875166814934,168.12813019275922,417.8347919848438,41.91192626953125,8.450833320617676,23.34502410888672
57,2022-04-30 16:09:25.049272,47.20342007026653,169.16574833052672,417.9317878531153,41.857322692871094,8.23193645477295,23.607446670532227
58,2022-04-30 16:09:37.737207,47.537557947386034,170.2173103884301,418.02735961054304,41.6890983581543,8.302688598632812,23.86880111694336
59,2022-04-30 16:09:50.421123,47.86081788564581,171.28239872580403,418.12139606321335,41.59425354003906,8.466175079345703,24.01255989074707
60,2022-04-30 16:10:03.106044,48.173076988816646,172.36129314480732,418.2138534143055,41.4672966003418,8.332530975341797,23.994781494140625
61,2022-04-30 16:10:15.652677,48.4708353772076,173.4417528718165,418.3036643150289,41.24666213989258,8.27318000793457,24.23048973083496
62,2022-04-30 16:10:28.336219,48.76037672568154,174.54726825286832,418.3927231831535,40.987361907958984,8.507397651672363,24.4144229888916
63,2022-04-30 16:10:41.016231,49.0380658141001,175.6655619925409,418.4799429167747,40.7736701965332,8.543970108032227,24.425798416137695
64,2022-04-30 16:10:53.564584,49.30104358306633,176.78484578616414,418.56440128102344,40.78655242919922,8.48890495300293,24.578929901123047
65,2022-04-30 16:11:06.248960,49.55467505416766,177.928682505112,418.64783123694735,40.64167785644531,8.452104568481445,24.818016052246094
66,2022-04-30 16:11:18.935792,49.79585403378323,179.0848668342034,418.729256873618,40.28801345825195,8.338515281677246,24.853538513183594
67,2022-04-30 16:11:31.482927,50.02185527254303,-179.76014800440518,418.8077370367707,40.12444305419922,8.36645793914795,24.962844848632812
68,2022-04-30 16:11:44.039211,50.235338183782595,-178.59327407252437,418.88417639610026,39.97065734863281,8.440848350524902,25.14067840576172
69,2022-04-30 16:11:56.589452,50.435831991271904,-177.41638791018528,418.9584266761902,39.853416442871094,8.484118461608887,25.29881477355957
70,2022-04-30 16:12:09.141377,50.62326698311949,-176.22928132969068,419.03048237073733,39.83576202392578,8.285137176513672,25.368806838989258
71,2022-04-30 16:12:21.692084,50.79740921433585,-175.03277370374593,419.1002775016169,39.620880126953125,8.429553985595703,25.266611099243164
72,2022-04-30 16:12:34.244135,50.95811404417796,-173.82720528113043,419.16777991769135,39.32345962524414,8.441370964050293,25.518043518066406
73,2022-04-30 16:12:46.940901,51.10680900522675,-172.59928189339792,419.23367612523714,39.1695556640625,8.505162239074707,25.56885528564453
74,2022-04-30 16:12:59.652671,51.24155087194247,-171.36206382449174,419.2972062303717,39.645729064941406,8.5059232711792,25.864765167236328
75,2022-04-30 16:13:12.338894,51.361778716617735,-170.12021514035047,419.35813227526296,39.34406280517578,8.482304573059082,25.833877563476562
76,2022-04-30 16:13:25.034769,51.467717762315054,-168.8710477045163,419.4165925928461,39.101837158203125,8.489241600036621,25.980093002319336
77,2022-04-30 16:13:37.701085,51.55895534870563,-167.61919783040386,419.47238085081864,39.02523422241211,8.506832122802734,26.056655883789062
78,2022-04-30 16:13:50.209980,51.6347873779473,-166.37819791404166,419.5249619076483,38.86335754394531,8.487561225891113,26.206514358520508
79,2022-04-30 16:14:02.767201,51.69656175098218,-165.12848912790992,419.5752088369882,38.528072357177734,8.565320014953613,26.54224395751953
80,2022-04-30 16:14:15.354641,51.74398440966251,-163.87264523192727,419.62300396564103,38.22858428955078,8.603880882263184,26.694063186645508
81,2022-04-30 16:14:27.935788,51.776822273856155,-162.61512779599354,419.66818297815064,37.912689208984375,8.687361717224121,26.862701416015625
82,2022-04-30 16:14:40.461005,51.79501641508087,-161.36174588969132,419.7105718697516,37.7409782409668,8.723542213439941,26.961719512939453
83,2022-04-30 16:14:52.982050,51.79872580319947,-160.10816421058155,419.75035271881256,37.573509216308594,8.689581871032715,26.885456085205078
84,2022-04-30 16:15:05.457446,51.788020694124235,-158.8593700483833,419.78740070811824,37.534847259521484,8.682071685791016,27.089797973632812
85,2022-04-30 16:15:17.966296,51.76286709628125,-157.60827301308305,419.82194928267955,37.35258865356445,8.740216255187988,27.227760314941406
86,2022-04-30 16:15:30.460939,51.72335688310811,-156.3604702104611,419.8538585561552,37.187103271484375,8.733799934387207,27.153112411499023
87,2022-04-30 16:15:42.996681,51.669314452667116,-155.1112629266621,419.8832624249858,36.9505615234375,8.630960464477539,27.23740005493164
88,2022-04-30 16:15:55.486249,51.60118649893767,-153.87015192373866,419.9099618863275,36.82378387451172,8.606565475463867,27.281688690185547
89,2022-04-30 16:16:07.975323,51.5188811010977,-152.63336539803788,419.9340764007886,36.72331619262695,8.734130859375,27.52312469482422
90,2022-04-30 16:16:20.486248,51.42230749009387,-151.39947330771787,419.95565284743583,36.50141525268555,8.748687744140625,27.538732528686523
91,2022-04-30 16:16:32.981097,51.311855825679324,-150.17296327715394,419.9746375864357,36.438514709472656,8.671039581298828,27.627599716186523
92,2022-04-30 16:16:45.496233,51.18731984175432,-148.9509955252065,419.9911011526656,36.196189880371094,8.608756065368652,27.441965103149414
93,2022-04-30 16:16:57.998757,51.049149595413496,-147.73748274764372,420.00501763055024,36.040000915527344,8.534734725952148,27.722869873046875
94,2022-04-30 16:17:10.509639,50.89726879131294,-146.53104996065161,420.0164344448469,35.79277420043945,8.643548965454102,27.95134925842285
